query,candidate,label,category,city
cafe Fes,"Cafe - casual cafe in Fes, cuisine: nan, rated 3.5/5",high,cafe,Fes
hammam Rabat,"Hammam Marassa - casual spa in Rabat, cuisine: nan, rated 3.5/5",high,spa,Rabat
where can i find a pharmacy in Agadir,"Pharmacie Agadir Bay صيدلية أكادير باي - casual pharmacy in Agadir, cuisine: nan, rated 3.5/5",high,pharmacy,Agadir
i want to eat in Oujda,"Restaurant De France - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",high,restaurant,Oujda
casual cafe Fes,"Cafe Casablanca - casual cafe in Kénitra, cuisine: sandwich, rated 3.5/5",medium,cafe,Fes
bakery Tetouan,"MEKNES's Bakery - casual bakery in Tetouan, cuisine: nan, rated 3.5/5",high,bakery,Tetouan
good restaurant in Majjate,"Restaurant - casual restaurant in Ksar, cuisine: nan, rated 3.5/5",medium,restaurant,Majjate
bar in Agadir,"Bar Casablanca بار كازابلانكا - casual bar in Rabat, cuisine: nan, rated 3.5/5",medium,bar,Agadir
pharmacy open now Agadir,"مقهى - casual cafe in Meknes, cuisine: nan, rated 3.5/5",low,pharmacy,Agadir
casual cafe Tangier,"Oasis Café Tetouan Park - casual restaurant in Souk, cuisine: nan, rated 3.5/5",low,cafe,Tangier
good cafe Timhadit,"Tradi Maison Fès - casual bakery in Fes, cuisine: nan, rated 3.5/5",low,cafe,Timhadit
cafe Chefchaouen morning,"Green Village Rabat - casual supermarket in Rabat, cuisine: nan, rated 3.5/5, phone available",low,cafe,Chefchaouen
fast food in Fes,"Snak fes food - casual fast_food in Fes, cuisine: nan, rated 3.5/5",high,fast_food,Fes
place for coffee in Tetouan,"Indian Spice Tangier - casual restaurant in Tangier, cuisine: nan, rated 3.5/5",low,cafe,Tetouan
where to sleep in Fes,"Riad Dar Mystere - luxury hotel in Fes, cuisine: nan, rated 3.5/5",high,hotel,Fes
spa in Tangier,"Hammam Aharrar - casual spa in Tangier, cuisine: nan, rated 3.6/5",high,spa,Tangier
hammam Rabat,"creatio lahlou jamal coiffure spa ésthétique - casual spa in Rabat, cuisine: nan, rated 3.5/5, phone available",high,spa,Rabat
restaurant Ksar,"Restaurant - casual restaurant in Ksar, cuisine: nan, rated 3.5/5",high,restaurant,Ksar
massage Rabat,"Hammam Marassa - casual spa in Rabat, cuisine: nan, rated 3.5/5",high,spa,Rabat
hammam Tasoultante,"Restaurant Tament - casual restaurant in Oujda, cuisine: nan, rated 3.5/5, phone available",low,spa,Tasoultante
good bar Rabat,"Henry's Bar - casual bar in Rabat, cuisine: nan, rated 3.5/5",high,bar,Rabat
relax wellness Fes,"Palais Medina Spa - casual spa in Fes, cuisine: nan, rated 3.5/5, website available",high,spa,Fes
relax wellness Tangier,"Hammam Aharrar - casual spa in Tangier, cuisine: nan, rated 3.6/5",high,spa,Tangier
bar in Tangier,"Chico's Restaurant and Bar - casual bar in Tangier, cuisine: nan, rated 3.5/5",high,bar,Tangier
cafe near me Martil,"Green Village Rabat - casual supermarket in Rabat, cuisine: nan, rated 3.5/5, phone available",low,cafe,Martil
bar in Pachalik,"Pharmacie Fès Shore صيدلية فاس شور - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",low,bar,Pachalik
where to buy food in Tangier,"supermarket(Alcohol) - casual supermarket in Tangier, cuisine: nan, rated 3.5/5",high,supermarket,Tangier
where to buy food in Tangier,"Dg. 7 frut1as et supermarket aida enface sijn mahali - casual supermarket in Tangier, cuisine: nan, rated 3.5/5",high,supermarket,Tangier
place for drinks in Agadir,"ô Bar - casual bar in Agadir, cuisine: nan, rated 3.5/5",high,bar,Agadir
casual accommodation Chefchaouen,"Hotel - casual hotel in Chefchaouen, cuisine: nan, rated 3.5/5",high,hotel,Chefchaouen
good bar Tangier nightlife,"Bonsai Sushi Bar - casual bar in Ifrane, cuisine: sushi;asian;japanese, rated 3.5/5",medium,bar,Tangier
gym Oujda,"Lina Fitness Center - casual gym in Oujda, cuisine: nan, rated 3.5/5, website available, phone available",high,gym,Oujda
cozy cafe in Oujda,"Bakery - casual bakery in Saâda, cuisine: nan, rated 3.5/5",low,cafe,Oujda
coffee shop in Majjate,"Café - casual cafe in Ksar, cuisine: nan, rated 3.5/5",medium,cafe,Majjate
hotel Fes,"Pharmacie corniche oued fes - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",low,hotel,Fes
good bar Fes nightlife,"Artistico Bar - casual bar in Fes, cuisine: nan, rated 3.5/5",high,bar,Fes
i want to eat in Issaguen,"Restaurant Marrakech - casual restaurant in Fes, cuisine: nan, rated 3.5/5",medium,restaurant,Issaguen
fast food in Casablanca,"Riad Mahdi Meknes - luxury hotel in Meknes, cuisine: nan, rated 3.5/5",low,fast_food,Casablanca
bakery Tangier morning,"Boulangerie Pâtisserie Chhiouate Fes - casual bakery in Fes, cuisine: nan, rated 3.5/5",medium,bakery,Tangier
nan restaurant in Tetouan,"Restaurant Makarim Tétouan - casual restaurant in Tetouan, cuisine: nan, rated 3.5/5",high,restaurant,Tetouan
fresh bread Assilah,"Local bakery - casual bakery in Assilah, cuisine: nan, rated 3.5/5",high,bakery,Assilah
where to work out in Fes,"Paradise fitness gym - casual gym in Marrakech, cuisine: nan, rated 3.5/5",medium,gym,Fes
good cafe Fes,"Cafe - casual cafe in Timhadit, cuisine: moroccan, rated 3.5/5",medium,cafe,Fes
pharmacy open now Meknes,"Restaurant Universitaire - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",low,pharmacy,Meknes
fast food near me Marrakech,"Roti Shop Marrakech - casual fast_food in Marrakech, cuisine: nan, rated 3.5/5",high,fast_food,Marrakech
cafe near me Martil,"Café Venise - casual cafe in Oujda, cuisine: nan, rated 3.5/5",medium,cafe,Martil
where can i find a pharmacy in Oujda,"Snack Fast-food - budget fast_food in Fes, cuisine: nan, rated 3.5/5",low,pharmacy,Oujda
good restaurant in Rabat,"Aire de service Meknes - casual restaurant in Majjate, cuisine: nan, rated 3.5/5",medium,restaurant,Rabat
cafe Majjate morning,"Henry's Bar - casual bar in Rabat, cuisine: nan, rated 3.5/5",low,cafe,Majjate
cafe near me Rabat,"Café - casual cafe in Rabat, cuisine: nan, rated 3.5/5",high,cafe,Rabat
hotel Majjate,"Z Hotel Meknes - casual hotel in Majjate, cuisine: nan, rated 3.5/5, phone available",high,hotel,Majjate
quick bite Tangier,"Fast & Good - budget fast_food in Tangier, cuisine: nan, rated 3.5/5",high,fast_food,Tangier
cozy cafe in Kénitra,"Cafe Casablanca - casual cafe in Kénitra, cuisine: sandwich, rated 3.5/5",high,cafe,Kénitra
casual gym Casablanca,"Ronnie Gym - casual gym in Casablanca, cuisine: nan, rated 3.5/5",high,gym,Casablanca
where to sleep in Tangier,"Maison Maggie Tangier - casual hotel in Tangier, cuisine: nan, rated 3.5/5",high,hotel,Tangier
pharmacy Fes,"Pharmacie Bab Fès صيدلية باب فاس - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",high,pharmacy,Fes
budget bar Fes,"pub café BAR Progres - casual bar in Fes, cuisine: nan, rated 3.5/5",high,bar,Fes
gym Aït,"Salon CHRIS - casual hairdresser in Marrakech, cuisine: nan, rated 3.5/5, website available, phone available",low,gym,Aït
pharmacy open now Pachalik,"Chorouk Fitness - casual gym in Tetouan, cuisine: nan, rated 3.5/5, phone available",low,pharmacy,Pachalik
barber in Kénitra,"Barbershop Mido - casual hairdresser in Kénitra, cuisine: nan, rated 3.5/5",high,hairdresser,Kénitra
cafe Oujda,"Café Guest - casual cafe in Oujda, cuisine: nan, rated 3.5/5, phone available",high,cafe,Oujda
cozy cafe in Chefchaouen,"Café Marrakech - casual cafe in Martil, cuisine: nan, rated 3.5/5",medium,cafe,Chefchaouen
hotel Tangier,"Hilton Tangier City Center - casual hotel in Tangier, cuisine: nan, rated 3.5/5, website available, phone available",high,hotel,Tangier
place to stay Chefchaouen,"Hotel - casual hotel in Chefchaouen, cuisine: nan, rated 3.5/5",high,hotel,Chefchaouen
relax wellness Kénitra,"Hammam - casual spa in Kénitra, cuisine: nan, rated 3.5/5",high,spa,Kénitra
massage Fes,"Palais Medina Spa - casual spa in Fes, cuisine: nan, rated 3.5/5, website available",high,spa,Fes
massage Agadir,"Marjane Fès II مرجان فاس 2 - casual supermarket in Fes, cuisine: nan, rated 3.5/5",low,spa,Agadir
pharmacy Beni,"Pharmacy (speak English well and understand your needs) - casual pharmacy in Akhlij, cuisine: nan, rated 3.5/5",medium,pharmacy,Beni
fresh bread Tetouan,"Local bakery - casual bakery in Assilah, cuisine: nan, rated 3.5/5",medium,bakery,Tetouan
cafe Settat morning,"Spa - casual spa in Agadir, cuisine: nan, rated 3.5/5",low,cafe,Settat
hammam Marrakech,"Hammam de la Rose - casual spa in Marrakech, cuisine: nan, rated 3.5/5, website available",high,spa,Marrakech
gym Oujda,"Café - casual cafe in Ksar, cuisine: nan, rated 3.5/5",low,gym,Oujda
fresh bread Meknes,"Bakery Shop - casual bakery in Meknes, cuisine: nan, rated 3.5/5",high,bakery,Meknes
fast food near me Tetouan,"Fast Food alamas - budget fast_food in Tetouan, cuisine: nan, rated 3.5/5",high,fast_food,Tetouan
relax wellness Meknes,"Château de Roslane Boutique hôtel & Spa - casual spa in Iqaddar, cuisine: nan, rated 3.5/5",medium,spa,Meknes
where to buy food in Pachalik,"marjane supermarket - casual supermarket in Pachalik, cuisine: nan, rated 3.5/5",high,supermarket,Pachalik
cheap bar Fes,"Bar À R C Chic - casual bar in Fes, cuisine: nan, rated 3.5/5",high,bar,Fes
cafe Oujda morning,"Café Design - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
hammam Fes,"Maison d'hôtes - casual spa in Fes, cuisine: nan, rated 3.5/5, website available, phone available",high,spa,Fes
casual spa Rabat,"H'Kid supermarket - casual supermarket in Aourir, cuisine: nan, rated 3.5/5",low,spa,Rabat
pharmacy Khenifra,"Pharmacie Riad Fès صيدلية رياض فاس - luxury pharmacy in Témara, cuisine: nan, rated 3.5/5",medium,pharmacy,Khenifra
budget hotel Chefchaouen,"Salle Tsouki Fitness & Musculation - casual gym in Essaouira, cuisine: nan, rated 3.5/5, phone available",low,hotel,Chefchaouen
spa Marrakech,"Hammam Dar el-Bacha - casual spa in Marrakech, cuisine: nan, rated 3.5/5",high,spa,Marrakech
casual spa Marrakech,"Derb El Hammam درب الحمام - casual spa in Marrakech, cuisine: nan, rated 3.6/5",high,spa,Marrakech
fitness center Essaouira,"The Barbershop - casual hairdresser in Laattaouia, cuisine: nan, rated 3.5/5",low,gym,Essaouira
restaurant in Rabat,"Restaurant - casual restaurant in Fes, cuisine: nan, rated 3.5/5",medium,restaurant,Rabat
spa in Rabat,"SPA ONLY COIFFURE - casual spa in Casablanca, cuisine: nan, rated 3.5/5",medium,spa,Rabat
cafe Meknes morning,"Café مقهى - casual cafe in Meknes, cuisine: nan, rated 3.5/5",high,cafe,Meknes
fast food in Casablanca,"American Fast Food - budget fast_food in Tangier, cuisine: american, rated 3.5/5",medium,fast_food,Casablanca
fast food in Bab,"Reda Fast Food - budget fast_food in Marrakech, cuisine: nan, rated 3.5/5",medium,fast_food,Bab
pharmacy open now Kénitra,"Pharmacy - casual pharmacy in Dar, cuisine: nan, rated 3.5/5",medium,pharmacy,Kénitra
spa in Marrakech,"مرجان واد فاس - casual supermarket in Fes, cuisine: nan, rated 3.5/5",low,spa,Marrakech
place for drinks in Pachalik,"Hauptbar - casual bar in Agadir, cuisine: nan, rated 3.5/5",medium,bar,Pachalik
where to work out in Rabat,"Hôtel Casablanca - casual hotel in Casablanca, cuisine: nan, rated 3.5/5",low,gym,Rabat
where to work out in Meknes,"Café Rayane Ice - casual cafe in Oujda, cuisine: nan, rated 3.5/5",low,gym,Meknes
quick bite Casablanca,"Casablanca shore - casual fast_food in Casablanca, cuisine: nan, rated 3.5/5",high,fast_food,Casablanca
fitness center Agadir,"Dg. 7 frut1as et supermarket aida enface sijn mahali - casual supermarket in Tangier, cuisine: nan, rated 3.5/5",low,gym,Agadir
where can i find a pharmacy in Fes,"Pharmacie Jnane Fès صيدلية جنان فاس - casual pharmacy in Fes, cuisine: nan, rated 3.5/5, phone available",high,pharmacy,Fes
where can i find a pharmacy in Rabat,"Restaurant Miami Inn - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",low,pharmacy,Rabat
bar in Fes,"Hilton Tangier City Center - casual hotel in Tangier, cuisine: nan, rated 3.5/5, website available, phone available",low,bar,Fes
relax wellness Marrakech,"Bab Doukkala Hammam - casual spa in Marrakech, cuisine: nan, rated 3.5/5",high,spa,Marrakech
cozy cafe in Rabat,"La vue de Rabat - casual cafe in Rabat, cuisine: nan, rated 3.5/5, phone available",high,cafe,Rabat
relax wellness Marrakech,"Nearshore Casablanca - casual restaurant in Casablanca, cuisine: nan, rated 3.5/5",low,spa,Marrakech
fresh bread Assilah,"Boulangerie Agadir - casual bakery in Rabat, cuisine: nan, rated 3.5/5",medium,bakery,Assilah
fresh bread Tetouan,"La Ideal - casual bakery in Tetouan, cuisine: nan, rated 3.5/5",high,bakery,Tetouan
i want to eat in Tangier,"Restaurant Agadir - casual restaurant in Guercif, cuisine: nan, rated 3.5/5",medium,restaurant,Tangier
coffee shop in Fes,"Cafe - casual cafe in Fes, cuisine: nan, rated 3.5/5",high,cafe,Fes
cheap spa Méchouar,"Rue Hammam El Anf - casual spa in Méchouar, cuisine: nan, rated 3.6/5",high,spa,Méchouar
good bar Tangier nightlife,"Bar Marrakech - casual bar in Pachalik, cuisine: nan, rated 3.5/5",medium,bar,Tangier
casual accommodation Meknes,"Ibis Meknes - casual hotel in Meknes, cuisine: nan, rated 3.5/5",high,hotel,Meknes
spa in Casablanca,"Hammam - casual spa in Casablanca, cuisine: nan, rated 3.5/5",high,spa,Casablanca
fast food in Casablanca,"Alba Fast Food - budget fast_food in Casablanca, cuisine: nan, rated 3.5/5",high,fast_food,Casablanca
restaurant casual Tangier,"Oasis Café Tetouan Park - casual restaurant in Souk, cuisine: nan, rated 3.5/5",medium,restaurant,Tangier
place for drinks in Ifrane,"Bonsai Sushi Bar - casual bar in Ifrane, cuisine: sushi;asian;japanese, rated 3.5/5",high,bar,Ifrane
hairdresser Marrakech,"Bar à Boucles Rabat - casual hairdresser in Rabat, cuisine: nan, rated 3.5/5",medium,hairdresser,Marrakech
good hotel Tangier,"Riad Dar Mystere - luxury hotel in Fes, cuisine: nan, rated 3.5/5",medium,hotel,Tangier
coffee shop in Timhadit,"Café Istanbul - casual cafe in Oujda, cuisine: nan, rated 3.5/5",medium,cafe,Timhadit
place for coffee in Oujda,"Café Guest - casual cafe in Oujda, cuisine: nan, rated 3.5/5, phone available",high,cafe,Oujda
grocery Rabat,"H'Kid supermarket - casual supermarket in Aourir, cuisine: nan, rated 3.5/5",medium,supermarket,Rabat
pharmacy open now Demnate,"Pharmacie Marrakech صيدلية مراكش - casual pharmacy in Demnate, cuisine: nan, rated 3.5/5",high,pharmacy,Demnate
gym Agadir,"Pharmacie corniche oued fes - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",low,gym,Agadir
cozy cafe in Oujda,"La Defense Café - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
cozy cafe in Tangier,"Cafe Socco Tangier - casual cafe in Tangier, cuisine: nan, rated 3.5/5",high,cafe,Tangier
hammam Marrakech,"Hammam Hilton Marrakech - casual spa in Marrakech, cuisine: nan, rated 3.5/5",high,spa,Marrakech
gym Fes,"Association Muscle , Fitnesse et Gym - casual gym in Fes, cuisine: nan, rated 3.5/5",high,gym,Fes
casual cafe Casablanca,"Café Agadir - casual cafe in Casablanca, cuisine: nan, rated 3.5/5",high,cafe,Casablanca
best restaurant Fes good reviews,"Restaurant El Kabados - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",medium,restaurant,Fes
fitness center Rabat,"Aire de service Meknes - casual cafe in Majjate, cuisine: nan, rated 3.5/5",low,gym,Rabat
relax wellness Fes,"Spa centre lavage - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
quick bite Bab,"Café Fast food - budget fast_food in Bab, cuisine: nan, rated 3.5/5",high,fast_food,Bab
pharmacy open now Aït,"Pharmacie Route de Rabat صيدلية طريق الرباط - casual pharmacy in Tangier, cuisine: nan, rated 3.5/5",medium,pharmacy,Aït
where to eat in Issaguen,"Pharmacie Route de Meknès صيدلية طريق مكناس - casual pharmacy in Fes, cuisine: nan, rated 3.5/5, phone available",low,restaurant,Issaguen
casual bakery Tangier,"Snak fes food - casual fast_food in Fes, cuisine: nan, rated 3.5/5",low,bakery,Tangier
cozy cafe in Timhadit,"Casablanca shore - casual fast_food in Casablanca, cuisine: nan, rated 3.5/5",low,cafe,Timhadit
bakery in Tetouan,"AL Barakate Bakery & Catering - casual bakery in Tetouan, cuisine: nan, rated 3.5/5",high,bakery,Tetouan
luxury bar Rabat,"Café - casual cafe in Bab, cuisine: nan, rated 3.5/5",low,bar,Rabat
good bar Rabat nightlife,"Bar à Boucles Rabat - casual bar in Rabat, cuisine: nan, rated 3.5/5",high,bar,Rabat
pharmacy open now Fes,"Pharmacie de Garde Fès Marjane Sais - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",high,pharmacy,Fes
where can i find a pharmacy in Demnate,"Café Fast food - budget fast_food in Bab, cuisine: nan, rated 3.5/5",low,pharmacy,Demnate
casual spa Rabat,"Villa Diyafa Boutique Hotel and Spa - casual spa in Rabat, cuisine: nan, rated 3.5/5, website available, phone available",high,spa,Rabat
quick bite Casablanca,"Cafe La Perle du Meknes - casual cafe in Meknes, cuisine: nan, rated 3.5/5",low,fast_food,Casablanca
hairdresser Marrakech,"Salon CHRIS - casual hairdresser in Marrakech, cuisine: nan, rated 3.5/5, website available, phone available",high,hairdresser,Marrakech
where to work out in Fes,"Association Muscle , Fitnesse et Gym - casual gym in Fes, cuisine: nan, rated 3.5/5",high,gym,Fes
massage Casablanca,"Hôtel & Spa Impérial Casablanca - casual spa in Casablanca, cuisine: nan, rated 3.5/5, website available",high,spa,Casablanca
place for coffee in Rabat,"Café - casual cafe in Bni, cuisine: nan, rated 3.5/5",medium,cafe,Rabat
fresh bread Rabat,"Boulangerie مخبزة اكيوض - casual bakery in Rabat, cuisine: nan, rated 3.5/5",high,bakery,Rabat
burger place Bab,"Roti Shop Marrakech - casual fast_food in Marrakech, cuisine: nan, rated 3.5/5",medium,fast_food,Bab
pharmacy Fes,"Pharmacie Fès Shore صيدلية فاس شور - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",high,pharmacy,Fes
where to eat in Tetouan,"Restaurant Makarim Tétouan - casual restaurant in Tetouan, cuisine: nan, rated 3.5/5",high,restaurant,Tetouan
fitness center Aït,"My Gym - casual gym in Rabat, cuisine: nan, rated 3.5/5",medium,gym,Aït
hotel Meknes,"Dar Meknes Tresor - casual hotel in Meknes, cuisine: nan, rated 3.5/5",high,hotel,Meknes
fitness center Agadir,"ANNEXES GYM - casual gym in Agadir, cuisine: nan, rated 3.5/5",high,gym,Agadir
good hotel Majjate,"Hotel Agadir - casual hotel in Méchouar, cuisine: nan, rated 3.5/5",medium,hotel,Majjate
bakery Casablanca morning,"Agadir مخبزة أكادير - casual bakery in Meknes, cuisine: nan, rated 3.5/5",medium,bakery,Casablanca
massage Tasoultante,"Spa - casual spa in Tasoultante, cuisine: nan, rated 3.5/5",high,spa,Tasoultante
restaurant in Tetouan,"American Fast Food - budget fast_food in Tangier, cuisine: american, rated 3.5/5",low,restaurant,Tetouan
spa in Essaouira,"Arab Spa, Hammam Beldi Traditionnel, Massages, Soin esthetiques - casual spa in Essaouira, cuisine: nan, rated 3.5/5",high,spa,Essaouira
gym Tetouan,"Chorouk Fitness - casual gym in Tetouan, cuisine: nan, rated 3.5/5, phone available",high,gym,Tetouan
spa in Fes,"So Zen Spa - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
spa Marrakech,"Hammam Elkaram - casual spa in Marrakech, cuisine: nan, rated 3.5/5",high,spa,Marrakech
cafe near me Oujda,"NYC NewYorkCity Café - casual cafe in Oujda, cuisine: nan, rated 3.5/5, phone available",high,cafe,Oujda
place for coffee in Tangier,"Riad Dar Mystere - luxury hotel in Fes, cuisine: nan, rated 3.5/5",low,cafe,Tangier
gym Marrakech,"Paradise fitness gym - casual gym in Marrakech, cuisine: nan, rated 3.5/5",high,gym,Marrakech
spa in Rabat,"Villa Diyafa Boutique Hotel and Spa - casual spa in Rabat, cuisine: nan, rated 3.5/5, website available, phone available",high,spa,Rabat
where can i find a pharmacy in Dar,"Pharmacie Bab Fés صيدلية باب فاس - casual pharmacy in Kénitra, cuisine: nan, rated 3.5/5",medium,pharmacy,Dar
fast food in Fes,"Le Duc Casablanca - casual restaurant in Casablanca, cuisine: nan, rated 3.5/5",low,fast_food,Fes
good bakery Assilah,"Bakery - casual bakery in Saâda, cuisine: nan, rated 3.5/5",medium,bakery,Assilah
place for coffee in Ksar,"Café - casual cafe in Ksar, cuisine: nan, rated 3.5/5",high,cafe,Ksar
luxury hotel Majjate,"Z Hotel Meknes - casual hotel in Majjate, cuisine: nan, rated 3.5/5, phone available",high,hotel,Majjate
cheap barber in Essaouira,"Bar voyageur - casual bar in Fes, cuisine: nan, rated 3.5/5",low,hairdresser,Essaouira
pharmacy Fes,"Pharmacie Essenhaji Agadir صيدلية الصنهاجي أكادير - casual pharmacy in Aït, cuisine: nan, rated 3.5/5",medium,pharmacy,Fes
pharmacy open now Khenifra,"pharmacy - casual pharmacy in Tangier, cuisine: nan, rated 3.5/5",medium,pharmacy,Khenifra
pharmacy Agadir,"صيدلية - casual pharmacy in Tetouan, cuisine: nan, rated 3.5/5",medium,pharmacy,Agadir
good restaurant in Martil,"Salon CHRIS - casual hairdresser in Marrakech, cuisine: nan, rated 3.5/5, website available, phone available",low,restaurant,Martil
hammam Méchouar,"Hammam Aljazeera - casual spa in Meknes, cuisine: nan, rated 3.5/5",medium,spa,Méchouar
spa Casablanca,"Hôtel & Spa Impérial Casablanca - casual spa in Casablanca, cuisine: nan, rated 3.5/5, website available",high,spa,Casablanca
barber in Marrakech,"Salon CHRIS - casual hairdresser in Marrakech, cuisine: nan, rated 3.5/5, website available, phone available",high,hairdresser,Marrakech
relax wellness Marrakech,"Mouassine Hammam (ladies entrance) - casual spa in Marrakech, cuisine: nan, rated 3.5/5",high,spa,Marrakech
good bar Fes nightlife,"Bar et restaurants - casual bar in Fes, cuisine: nan, rated 3.5/5",high,bar,Fes
cafe near me Majjate,"Aire de service Meknes - casual cafe in Majjate, cuisine: nan, rated 3.5/5",high,cafe,Majjate
good bar Agadir nightlife,"Buvette - casual bar in Agadir, cuisine: nan, rated 3.5/5",high,bar,Agadir
place for drinks in Agadir,"Bar Marrakech - casual bar in Pachalik, cuisine: nan, rated 3.5/5",medium,bar,Agadir
place for coffee in Tetouan,"Barbershop Mido - casual hairdresser in Kénitra, cuisine: nan, rated 3.5/5",low,cafe,Tetouan
pharmacy Témara,"Pharmacie Route Rabat صيدلية طريق الرباط - casual pharmacy in Oued, cuisine: nan, rated 3.5/5",medium,pharmacy,Témara
hammam Iqaddar,"MEKNES's Bakery - casual bakery in Tetouan, cuisine: nan, rated 3.5/5",low,spa,Iqaddar
good restaurant in Meknes,"Plaza Meknes - casual restaurant in Meknes, cuisine: nan, rated 3.5/5",high,restaurant,Meknes
cheap spa Oujda,"Hôtel Atlas Terminus & Spa - casual spa in Oujda, cuisine: nan, rated 3.5/5, website available, phone available",high,spa,Oujda
cozy cafe in Bni,"Café - casual cafe in Bni, cuisine: nan, rated 3.5/5",high,cafe,Bni
pharmacy open now Casablanca,"Pharmacy - casual pharmacy in Casablanca, cuisine: nan, rated 3.5/5",high,pharmacy,Casablanca
casual accommodation Casablanca,"Hôtel Casablanca - casual hotel in Casablanca, cuisine: nan, rated 3.5/5",high,hotel,Casablanca
find me a restaurant Oujda open now,"Restaurant Montana - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",high,restaurant,Oujda
casual spa Agadir,"Tildi Hotel & Spa - casual spa in Agadir, cuisine: nan, rated 3.5/5, website available, phone available",high,spa,Agadir
where to work out in Meknes,"Chorouk Fitness - casual gym in Tetouan, cuisine: nan, rated 3.5/5, phone available",medium,gym,Meknes
relax wellness Meknes,"مرجان واد فاس - casual supermarket in Fes, cuisine: nan, rated 3.5/5",low,spa,Meknes
cafe Chefchaouen,"Chili’s Tangier - casual restaurant in Tangier, cuisine: burger;grill;mexican;pizza, rated 3.5/5",low,cafe,Chefchaouen
cheap bar Agadir,"Bar a Tapas - casual bar in Agadir, cuisine: nan, rated 3.5/5",high,bar,Agadir
where to sleep in Casablanca,"Z Hotel Meknes - casual hotel in Majjate, cuisine: nan, rated 3.5/5, phone available",medium,hotel,Casablanca
spa in Tangier,"Riad Dar Mystere - luxury hotel in Fes, cuisine: nan, rated 3.5/5",low,spa,Tangier
good restaurant in Majjate,"Aire de service Meknes - casual restaurant in Majjate, cuisine: nan, rated 3.5/5",high,restaurant,Majjate
place for drinks in Rabat,"Bar salmane - casual bar in Rabat, cuisine: nan, rated 3.5/5, phone available",high,bar,Rabat
pharmacy open now Témara,"Pharmacie Riad Fès صيدلية رياض فاس - luxury pharmacy in Témara, cuisine: nan, rated 3.5/5",high,pharmacy,Témara
