id,name,category,subcategory,niche,city,rating,distance_km,is_open,price_level,has_website,has_instagram,description
44,Quick Cut Casablanca,barbershop,haircut,budget,Casablanca,4.9,0.2,True,1,True,False,"Quick Cut - budget barbershop in Casablanca, specializing in haircut, rated 4.9/5, 0.2km away, open"
45,FitLife Gym Fes,gym,fitness,casual,Fes,4.0,0.6,True,2,False,False,"FitLife Gym - casual gym in Fes, specializing in fitness, rated 4.0/5, 0.6km away, open"
46,FitLife Gym Casablanca,gym,fitness,casual,Casablanca,3.6,1.6,True,2,False,True,"FitLife Gym - casual gym in Casablanca, specializing in fitness, rated 3.6/5, 1.6km away, open"
47,Iron Works Fes,gym,weights,casual,Fes,4.3,2.0,True,2,False,True,"Iron Works - casual gym in Fes, specializing in weights, rated 4.3/5, 2.0km away, open"
48,Iron Works Rabat,gym,weights,casual,Rabat,3.5,3.1,True,2,False,False,"Iron Works - casual gym in Rabat, specializing in weights, rated 3.5/5, 3.1km away, open"
49,Yoga Studio Casablanca,gym,yoga,luxury,Casablanca,3.4,2.3,True,3,True,True,"Yoga Studio - luxury gym in Casablanca, specializing in yoga, rated 3.4/5, 2.3km away, open"
50,Yoga Studio Marrakech,gym,yoga,luxury,Marrakech,4.7,0.5,True,3,False,False,"Yoga Studio - luxury gym in Marrakech, specializing in yoga, rated 4.7/5, 0.5km away, open"
51,CrossFit Zone Casablanca,gym,crossfit,casual,Casablanca,3.3,1.7,True,2,True,False,"CrossFit Zone - casual gym in Casablanca, specializing in crossfit, rated 3.3/5, 1.7km away, open"
52,CrossFit Zone Marrakech,gym,crossfit,casual,Marrakech,4.9,2.5,False,2,False,True,"CrossFit Zone - casual gym in Marrakech, specializing in crossfit, rated 4.9/5, 2.5km away, closed"
53,Premium Fitness Fes,gym,fitness,luxury,Fes,3.9,0.3,True,3,True,True,"Premium Fitness - luxury gym in Fes, specializing in fitness, rated 3.9/5, 0.3km away, open"
54,Premium Fitness Casablanca,gym,fitness,luxury,Casablanca,3.1,1.4,True,3,True,True,"Premium Fitness - luxury gym in Casablanca, specializing in fitness, rated 3.1/5, 1.4km away, open"
55,Grand Palace Hotel Fes,hotel,5-star,luxury,Fes,4.9,2.7,True,3,False,False,"Grand Palace Hotel - luxury hotel in Fes, specializing in 5-star, rated 4.9/5, 2.7km away, open"
56,Grand Palace Hotel Agadir,hotel,5-star,luxury,Agadir,4.6,0.8,True,3,False,True,"Grand Palace Hotel - luxury hotel in Agadir, specializing in 5-star, rated 4.6/5, 0.8km away, open"
57,City Center Inn Agadir,hotel,3-star,casual,Agadir,3.5,2.8,False,2,True,True,"City Center Inn - casual hotel in Agadir, specializing in 3-star, rated 3.5/5, 2.8km away, closed"
58,City Center Inn Casablanca,hotel,3-star,casual,Casablanca,3.4,2.9,True,2,False,True,"City Center Inn - casual hotel in Casablanca, specializing in 3-star, rated 3.4/5, 2.9km away, open"
59,Budget Stay Casablanca,hotel,budget,budget,Casablanca,3.0,0.8,True,1,True,True,"Budget Stay - budget hotel in Casablanca, specializing in budget, rated 3.0/5, 0.8km away, open"
60,Budget Stay Fes,hotel,budget,budget,Fes,3.6,2.3,True,1,True,True,"Budget Stay - budget hotel in Fes, specializing in budget, rated 3.6/5, 2.3km away, open"
