id,business_name,category,city,niche,rating,has_website,has_instagram,has_video_content,review_count,description
46,Man Cave Casablanca,barbershop,Casablanca,budget,4.3,False,False,False,424,"Man Cave - budget barbershop in Casablanca, rated 4.3/5, website: no, instagram: no, video content: no, 424 reviews"
47,Blade & Blade Rabat,barbershop,Rabat,budget,3.1,True,False,False,362,"Blade & Blade - budget barbershop in Rabat, rated 3.1/5, website: yes, instagram: no, video content: no, 362 reviews"
48,Blade & Blade Casablanca,barbershop,Casablanca,casual,5.0,True,False,False,323,"Blade & Blade - casual barbershop in Casablanca, rated 5.0/5, website: yes, instagram: no, video content: no, 323 reviews"
49,Sharp Cuts Rabat,barbershop,Rabat,casual,3.1,True,False,True,199,"Sharp Cuts - casual barbershop in Rabat, rated 3.1/5, website: yes, instagram: no, video content: yes, 199 reviews"
50,Sharp Cuts Casablanca,barbershop,Casablanca,luxury,3.0,False,True,True,547,"Sharp Cuts - luxury barbershop in Casablanca, rated 3.0/5, website: no, instagram: yes, video content: yes, 547 reviews"
51,Classic Trim Rabat,barbershop,Rabat,budget,3.2,False,False,False,193,"Classic Trim - budget barbershop in Rabat, rated 3.2/5, website: no, instagram: no, video content: no, 193 reviews"
52,Classic Trim Casablanca,barbershop,Casablanca,casual,2.5,True,False,True,576,"Classic Trim - casual barbershop in Casablanca, rated 2.5/5, website: yes, instagram: no, video content: yes, 576 reviews"
53,Serenity Rabat,spa,Rabat,casual,4.2,False,True,False,22,"Serenity - casual spa in Rabat, rated 4.2/5, website: no, instagram: yes, video content: no, 22 reviews"
54,Serenity Casablanca,spa,Casablanca,budget,3.2,False,False,True,268,"Serenity - budget spa in Casablanca, rated 3.2/5, website: no, instagram: no, video content: yes, 268 reviews"
55,Hammam Royale Rabat,spa,Rabat,casual,2.8,False,True,False,64,"Hammam Royale - casual spa in Rabat, rated 2.8/5, website: no, instagram: yes, video content: no, 64 reviews"
56,Hammam Royale Casablanca,spa,Casablanca,luxury,2.9,True,False,True,131,"Hammam Royale - luxury spa in Casablanca, rated 2.9/5, website: yes, instagram: no, video content: yes, 131 reviews"
57,Glow Spa Rabat,spa,Rabat,budget,4.4,True,True,False,545,"Glow Spa - budget spa in Rabat, rated 4.4/5, website: yes, instagram: yes, video content: no, 545 reviews"
58,Glow Spa Casablanca,spa,Casablanca,casual,3.6,False,True,True,322,"Glow Spa - casual spa in Casablanca, rated 3.6/5, website: no, instagram: yes, video content: yes, 322 reviews"
59,Pure Bliss Rabat,spa,Rabat,budget,4.1,True,True,True,222,"Pure Bliss - budget spa in Rabat, rated 4.1/5, website: yes, instagram: yes, video content: yes, 222 reviews"
60,Pure Bliss Casablanca,spa,Casablanca,budget,3.0,True,False,False,86,"Pure Bliss - budget spa in Casablanca, rated 3.0/5, website: yes, instagram: no, video content: no, 86 reviews"
61,La Beaute Rabat,spa,Rabat,luxury,2.5,False,True,False,247,"La Beaute - luxury spa in Rabat, rated 2.5/5, website: no, instagram: yes, video content: no, 247 reviews"
62,La Beaute Casablanca,spa,Casablanca,casual,4.3,True,True,False,280,"La Beaute - casual spa in Casablanca, rated 4.3/5, website: yes, instagram: yes, video content: no, 280 reviews"
